State District ID,Students*,Teachers*,Schools*,Student Teacher Ratio*,Type
8385,5383,373.92,14,14.4,Regular School District
8425,838,53.9,2,15.5,Regular School District
8435,2530,133.04,4,19,Regular School District
8445,1440,89.06,3,16.2,Regular School District
8515,884,54.99,6,16.1,Regular School District
8525,765,60.49,2,12.6,Regular School District
8535,758,65.96,3,11.5,Regular School District
8565,2482,150.71,6,16.5,Regular School District
8625,1219,83.56,2,14.6,Regular School District
8665,3593,223.28,6,16.1,Regular School District
8810,?,?,?,?,Regular School District
8815,?,?,?,?,Regular School District
8820,?,?,?,?,Regular School District
8825,?,?,?,?,Regular School District
8830,?,?,?,?,Regular School District
9100,451,57.26,8,7.9,State District
9105,0,0,0,?,State District
9605,132,38.49,1,3.4,State District
9610,318,59.32,1,5.4,State District
9346,?,0,0,?,Supervisory Union
9620,612,46.19,1,13.2,
9625,297,36.32,1,8.2,
